gdc_mean_in,gdh_mean_in,gch_mean_in,gd_mean_in,pct_oil_acidez_mean
13.85,10.0,0.7999999999999999,0.6,1.2628922703185563
5.766666666666666,7.3,0.26666666666666666,0.16666666666666666,1.2684402380423743
3.190909090909091,4.6090909090909085,0.6000000000000001,0.16363636363636364,0.7480053796965831
3.466666666666667,4.8999999999999995,0.3,0.08333333333333333,0.9507348812580373
5.18,6.840000000000001,0.38,0.15999999999999998,1.0338819284559448
2.75,6.75,0.9500000000000001,0.0,1.128291444384218
4.8,5.68,0.22000000000000003,0.04,1.4172762874835951
6.433333333333334,7.583333333333333,0.20000000000000004,0.08333333333333333,1.1721783549001918
14.25,7.333333333333333,0.25,0.049999999999999996,1.6381731819591605
14.6,6.25,0.0,0.0,1.3921917283048286
19.55,2.6,0.25,0.0,1.984079292206807
9.933333333333334,6.733333333333333,0.18333333333333335,0.13333333333333333,1.6198096444020489
7.06,10.7,0.8399999999999999,0.08,1.429616240795778
7.42,9.68,0.38,0.18,1.7342108830148515
4.9399999999999995,4.7,0.27999999999999997,0.32,1.6468237099383476
1.26,1.3599999999999999,0.6,0.12000000000000002,0.6089658876118338
1.02,1.52,0.15999999999999998,0.12000000000000002,1.0847034174785093
2.35,2.783333333333333,0.18333333333333335,0.09999999999999999,0.613926631439658
2.9499999999999997,5.233333333333333,0.21666666666666667,0.0,0.9893174633437362
3.0500000000000003,4.25,0.09999999999999999,0.16666666666666666,0.8103848830118329
7.616666666666667,5.933333333333334,0.09999999999999999,0.03333333333333333,1.0970745899875474
4.066666666666666,4.583333333333333,0.08333333333333333,0.18333333333333335,0.9342969057165225
18.150000000000002,3.5666666666666664,0.15,0.15,0.9792074966890134
80.08333333333333,3.0833333333333335,0.016666666666666666,0.0,2.1837421801195633
52.91428571428571,2.142857142857143,0.05714285714285715,0.028571428571428574,2.1948708952936262
19.825,3.025,0.1,0.375,2.049703116364996
61.7,3.0999999999999996,0.0,0.0,2.26
49.583333333333336,4.783333333333333,0.35000000000000003,0.03333333333333333,2.644331348022279
64.10000000000001,8.65,0.10000000000000002,0.0,2.5900235171481945
67.93333333333332,7.25,0.18333333333333335,0.0,2.7478626710585843
71.16666666666667,5.516666666666667,0.2833333333333333,0.06666666666666667,3.1054943315789596
72.35000000000001,12.549999999999999,0.16666666666666666,0.03333333333333333,5.368677389769656
61.8,12.75,0.025,0.0,5.589086612834515
77.5,9.666666666666666,0.15,0.0,3.8113102801380694
67.48333333333333,11.516666666666666,0.26666666666666666,0.06666666666666667,5.3263058662210225
79.34,14.559999999999999,0.1,0.08,6.499562814192275
78.24,16.7,0.0,0.06000000000000001,7.066159553382926
75.75,10.799999999999999,0.6166666666666667,0.0,6.565429954086228
67.05,14.700000000000001,0.5333333333333333,0.03333333333333333,5.823766431728441
56.8,17.939999999999998,0.72,0.1,4.6490934540110365
41.53333333333333,12.133333333333333,0.09999999999999999,0.03333333333333333,2.444220735092155
27.35,19.3,0.30000000000000004,0.05,1.97729074243811
40.833333333333336,13.216666666666667,0.3,0.06666666666666667,2.548068530233974
46.03333333333333,20.0,0.45,0.016666666666666666,2.6154666939868
32.31666666666667,13.183333333333332,0.21666666666666667,0.0,2.501426639529961
49.93333333333334,15.683333333333332,0.03333333333333333,0.0,3.9811594004591773
32.625,17.275000000000002,0.15000000000000002,0.0,2.930660580053535
29.8,16.2,0.0,0.0,3.3313703692001617
31.96666666666667,21.116666666666667,0.21666666666666667,0.06666666666666667,3.362528918221635
69.4,15.9,0.0,0.0,3.6868521004083736
43.15,13.683333333333332,0.21666666666666667,0.0,4.308781018040888
51.449999999999996,11.899999999999999,0.15,0.0,4.136423658461237
42.36666666666667,13.916666666666666,0.16666666666666666,0.0,3.8787876813963877
30.5,6.883333333333333,0.13333333333333333,0.049999999999999996,2.7950049635187404
28.766666666666666,6.3,0.3833333333333333,0.0,2.31694298831335
46.0,11.733333333333334,0.016666666666666666,0.0,4.5083729435608255
29.45,15.6,0.05000000000000001,0.0,3.5398476901815727
37.8,22.3,0.6,0.0,3.064603614148277
30.580000000000002,16.98,0.18,0.06,3.3724680606856254
30.083333333333332,12.566666666666668,0.3833333333333333,0.0,3.3006177005892057
28.766666666666666,11.433333333333332,0.3666666666666667,0.0,2.9197925979387698
39.53333333333333,13.85,0.15,0.0,3.4152823788565625
37.56666666666666,9.483333333333333,0.35000000000000003,0.0,3.9750587053472524
35.333333333333336,8.783333333333333,0.23333333333333336,0.016666666666666666,3.671133542829796
40.25,10.25,0.16666666666666666,0.0,3.803766512067542
53.31666666666666,12.6,0.06666666666666667,0.0,4.191056013092303
75.66666666666667,13.883333333333333,0.0,0.0,5.329998619117194
67.71666666666667,16.233333333333334,0.0,0.03333333333333333,5.253489140943363
72.65,9.416666666666666,0.0,0.0,4.069148805562542
74.9,13.05,0.0,0.0,3.720954729936124
46.1,9.88,0.16,0.0,2.2675804760594214
66.36666666666666,10.916666666666666,0.0,0.049999999999999996,3.543968375226163
20.233333333333334,4.266666666666667,0.2833333333333333,0.05000000000000001,1.6523773691013866
40.13333333333333,8.716666666666667,0.3333333333333333,0.05000000000000001,1.2681857456097942
44.86666666666667,12.766666666666666,0.08333333333333333,0.03333333333333333,2.544480636884985
47.38,10.48,0.13999999999999999,0.0,4.017616711854516
70.13333333333334,17.849999999999998,0.016666666666666666,0.0,6.594908609709466
33.6,7.95,0.025,0.05,3.3052775138818715
11.75,6.175,1.0999999999999999,0.0,1.7897627560089109
33.225,7.075,0.6,0.05,4.079438939542428
41.25,8.5,0.3,0.0,3.0550106526413234
